neighbourhood_group,room_type,Prices,Price_range,log_price
Bronx,Entire home/apt,max_price,2750,7.919356190660617
Bronx,Entire home/apt,min_price,28,3.332204510175204
Bronx,Private room,max_price,1000,6.907755278982137
Bronx,Private room,min_price,11,2.3978952727983707
Bronx,Shared room,max_price,150,5.0106352940962555
Bronx,Shared room,min_price,25,3.2188758248682006
Brooklyn,Entire home/apt,max_price,10000,9.210340371976184
Brooklyn,Entire home/apt,min_price,29,3.367295829986474
Brooklyn,Hotel room,max_price,1000,6.907755278982137
Brooklyn,Hotel room,min_price,50,3.912023005428146
Brooklyn,Private room,max_price,1600,7.3777589082278725
Brooklyn,Private room,min_price,10,2.302585092994046
Brooklyn,Shared room,max_price,1000,6.907755278982137
Brooklyn,Shared room,min_price,15,2.70805020110221
Manhattan,Entire home/apt,max_price,10000,9.210340371976184
Manhattan,Entire home/apt,min_price,10,2.302585092994046
Manhattan,Hotel room,max_price,1295,7.166265974133638
Manhattan,Hotel room,min_price,100,4.605170185988092
Manhattan,Private room,max_price,10000,9.210340371976184
Manhattan,Private room,min_price,10,2.302585092994046
Manhattan,Shared room,max_price,10000,9.210340371976184
Manhattan,Shared room,min_price,25,3.2188758248682006
Queens,Entire home/apt,max_price,10000,9.210340371976184
Queens,Entire home/apt,min_price,10,2.302585092994046
Queens,Hotel room,max_price,209,5.342334251964811
Queens,Hotel room,min_price,100,4.605170185988092
Queens,Private room,max_price,9000,9.104979856318357
Queens,Private room,min_price,10,2.302585092994046
Queens,Shared room,max_price,3000,8.006367567650246
Queens,Shared room,min_price,15,2.70805020110221
Staten Island,Entire home/apt,max_price,1200,7.090076835776092
Staten Island,Entire home/apt,min_price,39,3.6635616461296463
Staten Island,Private room,max_price,800,6.684611727667927
Staten Island,Private room,min_price,24,3.1780538303479458
Staten Island,Shared room,max_price,89,4.48863636973214
Staten Island,Shared room,min_price,40,3.6888794541139363
